code,description,concept_id,vocabulary_id,domain_id,standard_concept
14.03.03.04,Joint cleaning [Debridement] of the knee,,,,Non-standard
13.03.05.08,Joint synovectomy of the hand,,,,Non-standard
ACFA023,Jugular foramen tumor resection by craniotomy,,,,Non-standard
HLHH005,"Jugular liver biopsy with ultrasound and / or radiological guidance, with intravenous pressure measurement",,,,Non-standard
HLHH001,"Jugular liver biopsy with ultrasound and / or radiological guidance, without intravenous pressure measurement",,,,Non-standard
EBCA012,"Juguloaxillary venous bypass, by cervicotomy",,,,Non-standard
16.05.07,Keratinocyte culture graft for burns,,,,Non-standard
BDFP003,Keratomileusis in situ with excimer laser,,,,Non-standard
02.04.02.05,Keratoplasty and keratoprosthesis,,,,Non-standard
JAHJ006,"Kidney biopsy on a target, transcutaneously with ultrasound guidance",,,,Non-standard
JAHJ007,"Kidney biopsy on multiple targets, transcutaneously with ultrasound guidance",,,,Non-standard
JAHA001,"Kidney biopsy, direct approach",,,,Non-standard
JAHH002,"Kidney biopsy, transcutaneous jugular route with radiological guidance",,,,Non-standard
JAHB001,"Kidney biopsy, transcutaneously without guidance",,,,Non-standard
JAHH001,"Kidney cyst puncture, transcutaneously with radiological guidance",,,,Non-standard
JAHJ002,"Kidney cyst puncture, transcutaneously with ultrasound guidance",,,,Non-standard
JAQH003,"Kidney cystography, transcutaneously with ultrasound and / or radiological guidance",,,,Non-standard
08.02.01.06,Kidney removal and transplantation,,,,Non-standard
08.02.02.07,Kidney stone removal,,,,Non-standard
JAGD001,"Kidney stone removal, by a nephrostomy already in place",,,,Non-standard
JAEA003,Kidney transplant,,,,Non-standard
08.02.01.05,Kidney trauma repair,,,,Non-standard
14.03.03.05,Knee arthrodesis and arthritis,,,,Non-standard
NFQH001,Knee arthrography,,,,Non-standard
14.03.03.06,Knee arthroplasty,,,,Non-standard
NZFA003,Knee disarticulation,,,,Non-standard
14.03.03.02,Knee joint collection evacuation,,,,Non-standard
NFJC002,Knee joint collection evacuation by arthroscopy,,,,Non-standard
NFJA002,Knee joint collection evacuation by arthrotomy,,,,Non-standard
14.04.02.02,Knee lengthening and tendon transfer,,,,Non-standard
14.03.03.01,Knee mobilization,,,,Non-standard
14.04.02.04,Knee tendon shortening,,,,Non-standard
NFQK004,Knee x-ray based on 5 or more views,,,,Non-standard
HACA002,"Labial adhesion for bilateral cleft lip, maxillo-palate",,,,Non-standard
HACA001,"Labial adhesion for unilateral cleft lip, maxillo-palate",,,,Non-standard
HADA001,Labioglossopexy,,,,Non-standard
CERP002,Labyrinthine vestibular function rehabilitation session,,,,Non-standard
BBCA001,Laco-dacryo-cysto-rhinostomy without laser,,,,Non-standard
BBHA001,Lacrimal gland biopsy,,,,Non-standard
BBPA003,Lacrimal sac incision,,,,Non-standard
BBFA003,Lacrimal sac resection,,,,Non-standard
QEFA016,Lactiferous duct resection [Milk duct resection] [Breast pyramidectomy],,,,Non-standard
BDFA002,Lamellar keratectomy,,,,Non-standard
BDMA900,Lamellar keratoplasty with conjunctivoplasty [Corneoconjunctival transplantation],,,,Non-standard
QELH001,"Landmark placement in the breast, transcutaneously with mammographic guidance",,,,Non-standard
QELJ001,"Landmark placement in the breast, transcutaneously with ultrasound guidance",,,,Non-standard
HMFA006,"Laparoscopic cholecystectomy, with choledochoduodenostomy by laparotomy",,,,Non-standard
HMFA005,"Laparoscopic cholecystectomy, with choledochojejunostomy by laparotomy",,,,Non-standard
HMFA003,"Laparoscopic cholecystectomy, with stone removal of the main bile duct by choledochotomy, by laparotomy",,,,Non-standard
GELF001,"Laryngeal catheter or tracheal catheter placement, transcutaneously",,,,Non-standard
GDFE003,"Laryngeal cordectomy, by direct laryngoscopy with laser",,,,Non-standard
GDFE007,"Laryngeal cordectomy, by direct laryngoscopy without laser",,,,Non-standard
GDMA003,Laryngeal crash repair,,,,Non-standard
GDFE015,Laryngeal vestibular resection by direct laryngoscopy without laser,,,,Non-standard
GDCA001,Laryngeal wound suture,,,,Non-standard
GDMA001,"Laryngoplasty, by cervicotomy",,,,Non-standard
GDMA002,"Laryngotracheoplasty, by cervicotomy",,,,Non-standard
CCCA002,Laser-free opening and occlusion of the posterior semicircular duct,,,,Non-standard
HDMA004,Laser-less uvulopharyngoplasty with septoplasty,,,,Non-standard
HDMA001,Laser-less uvulopharyngoplasty with turbinectomy,,,,Non-standard
ZZQL019,"Late scintigraphic planar images without reinjection, complementary to a standard examination",,,,Non-standard
ZZQL018,"Late tomoscintigraphic images without reinjection, complementary to a standard examination",,,,Non-standard
NFFC003,"Lateral and medial meniscectomies of the knee, by arthroscopy",,,,Non-standard
NFFA001,"Lateral and medial meniscectomies of the knee, by arthrotomy",,,,Non-standard
BADA003,Lateral canthopexy,,,,Non-standard
BAMA009,Lateral canthoplasty,,,,Non-standard
BAPA004,Lateral canthotomy,,,,Non-standard
HHSA001,"Lateral cutaneous colostomy closure, by direct approach",,,,Non-standard
NFMA002,"Lateral extraarticular ligament plasty of the knee with the fascia lata, by direct approach",,,,Non-standard
HKPA003,Lateral internal sphincterotomy [Leiomyotomy] of the anus,,,,Non-standard
NFFC004,"Lateral or medial meniscectomy of the knee, by arthroscopy",,,,Non-standard
NFFA003,"Lateral or medial meniscectomy of the knee, by arthrotomy",,,,Non-standard
HDFA002,"Lateral oropharyngectomy with tonsillectomy, by intraoral approach",,,,Non-standard
HDFA008,"Lateral oropharyngectomy, by cervicotomy",,,,Non-standard
HDFA016,"Lateral pharyngectomy, by cervicotomy",,,,Non-standard
LBFA036,"Lateral segmental extracondylar interrupter resection of the mandible by direct approach, without insertion of an intrafocal retainer or filling",,,,Non-standard
LBFA017,"Lateral segmental extracondylar interrupter resection of the mandible with filling, by direct approach",,,,Non-standard
LBFA027,"Lateral segmental extracondylar interrupting resection of the mandible by direct approach, with placement of an intrafocal retainer, without filling",,,,Non-standard
DGCA017,"Lateral thoracic aortic wound suture, by thoracotomy with CPB",,,,Non-standard
DGCA025,"Lateral thoracic aortic wound suture, by thoracotomy without CEC",,,,Non-standard
QZHA004,Laterolongitudinal biopsy of the nail apparatus,,,,Non-standard
LBFA034,"Lateroterminal interrupter resection of the mandible by direct approach, without insertion of a lateroterminal device or filling",,,,Non-standard
LBFA039,"Lateroterminal interrupting resection of the mandible by direct approach, with filling by chondrocostal autograft",,,,Non-standard
LBFA037,"Lateroterminal interruptor resection of the mandible by direct approach, with placement of a lateroterminal restraint device, without filling",,,,Non-standard
HBLD090,Laying of a coronoradicular infrastructure [Inlay core] under a crown or a tooth-supported bridge abutment with no remaining load,,,,Non-standard
DBMA003,"Left atrioventricular annuloplasty, by thoracotomy with CEC",,,,Non-standard
DBPA006,"Left atrioventricular valve commissurotomy, by thoracotomy with CEC",,,,Non-standard
DBPA005,"Left atrioventricular valve commissurotomy, by thoracotomy without CEC",,,,Non-standard
DBMA002,"Left atrioventricular valvoplasty, by thoracotomy with CEC",,,,Non-standard
HHFA002,"Left colectomy with liberation of the left colonic angle, with restoration of continuity, by laparoscopy or by laparotomy with preparation by laparoscopy",,,,Non-standard
HHFA006,"Left colectomy with liberation of the left colonic angle, with restoration of continuity, by laparotomi",,,,Non-standard
HHFA024,"Left colectomy with release of the left colonic angle, without restoration of continuity, by laparotomi",,,,Non-standard
HHFA010,"Left colectomy without liberation of the left colonic angle, with restoration of continuity, by laparoscopy or by laparotomy with preparation by laparoscopy",,,,Non-standard
HHFA017,"Left colectomy without liberation of the left colonic angle, with restoration of continuity, by laparotomi",,,,Non-standard
HHFC040,"Left colectomy without liberation of the left colonic angle, without restoration of continuity, by laparoscopy",,,,Non-standard
HHFA014,"Left colectomy without liberation of the left colonic angle, without restoration of continuity, by laparotomi",,,,Non-standard
HLFA007,"Left hepatectomy enlarged to the caudate lobe [Spigel's] [segment I], by laparotomy",,,,Non-standard
HLFC037,"Left hepatectomy, by laparoscopy",,,,Non-standard
HLFA018,"Left hepatectomy, by laparotomy",,,,Non-standard
HLFC002,"Left hepatic lobectomy, by laparoscopy",,,,Non-standard
HLFA011,"Left hepatic lobectomy, by laparotomy",,,,Non-standard
HNFC028,"Left pancreatectomy with preservation of the spleen, by laparoscopy",,,,Non-standard
HNFA008,"Left pancreatectomy with preservation of the spleen, by laparotomy",,,,Non-standard
HNFA002,"Left pancreatectomy with preservation of the spleen, with pancreatojejunal or pancreaticojejunal anastomosis, by laparotomy",,,,Non-standard
HNFA010,"Left pancreatectomy with splenectomy [Left splenopancreatectomy] with pancreatojejunal or pancreatojejunal anastomosis, by laparotomy",,,,Non-standard
HNFC002,"Left pancreatectomy with splenectomy [Left splenopancreatectomy], by laparoscopy",,,,Non-standard
HNFA013,"Left pancreatectomy with splenectomy [Left splenopancreatectomy], by laparotomy",,,,Non-standard
NJAA004,"Lengthening and / or transfer of several tendons with capsulotomy for correction of defective knee posture, by direct approach",,,,Non-standard
NJAA002,"Lengthening and / or transfer of tendon without capsulotomy for correction of defective knee posture, by direct approach",,,,Non-standard
NJAA003,"Lengthening of a tendon in the hindfoot, by direct approach",,,,Non-standard
NJAA001,"Lengthening of several tendons of the hindfoot, by direct approach",,,,Non-standard
BAAA001,"Lengthening of the levator muscle of the upper eyelid and / or section of its deep lamina [M?ller's muscle], with the interposition of inert material or autograft",,,,Non-standard
BAAA002,"Lengthening of the levator muscle of the upper eyelid and / or section of its deep lamina [M?llerian muscle], without interposition of inert material or autograft",,,,Non-standard
JHAA005,Lengthening of the penis by corpora cavernosa plasty,,,,Non-standard
JHAA004,Lengthening of the penis by sectioning the suspensory ligament,,,,Non-standard
MJAA002,"Lengthening of the tendons and / or disinsertion of the flexor muscles of the hand or fingers, by direct approach",,,,Non-standard
MJAA001,"Lengthening of the tendons and / or extensor muscles of the hand or fingers, by direct approach",,,,Non-standard
HDAA002,Lengthening veloplasty with palatal flap,,,,Non-standard
02.04.04.01,Lens extraction,,,,Non-standard
YYYY002,Level 2 cardiology package,,,,Non-standard
YYYY015,Level A resuscitation package,,,,Non-standard
EDPA002,"Liberation of a digestive artery, by laparotomy",,,,Non-standard
AHPA028,"Liberation of digital nerve by direct approach, on a ray of the hand",,,,Non-standard
AHPA005,"Liberation of the brachial plexus with scalenotomy and cervical rib removal, by supraclavicular approach",,,,Non-standard
AHPA004,"Liberation of the brachial plexus with scalenotomy, by supraclavicular approach",,,,Non-standard
AHPA020,"Liberation of the brachial plexus, by infraclavicular approach",,,,Non-standard
AHPA006,"Liberation of the brachial plexus, by supraclavicular approach and by infraclavicular approach",,,,Non-standard
AHPA023,"Liberation of the radial nerve at the elbow, by direct approach",,,,Non-standard
AHPA027,"Liberation of the radial nerve in the arm, by direct approach",,,,Non-standard
QZEA034,"Lifting 1 to 5 scars, by direct approach",,,,Non-standard
QZEA009,"Lifting of 6 or more scars, by direct approach",,,,Non-standard
EJSA003,"Ligation of a deep vein of the lower limb, by direct approach",,,,Non-standard
EDSA001,"Ligation of a digestive artery, by laparotomy",,,,Non-standard
EESA001,"Ligation of an artery in the thigh or leg, by direct approach",,,,Non-standard
ECSA003,"Ligation of an artery of the upper limb, by direct approach",,,,Non-standard
EASA002,"Ligation of infratentorial intracranial vessel, by craniotomy",,,,Non-standard
EDSA002,"Ligation of internal iliac [hypogastric] arteries for postpartum hemorrhage, by laparotomy",,,,Non-standard
EDSA003,"Ligation of internal iliac arteries, by laparotomy",,,,Non-standard
EJSA001,"Ligation of several perforating leg veins, by direct approach",,,,Non-standard
ECSA002,"Ligation of the brachiocephalic arterial trunk, by thoracotomy",,,,Non-standard
EBSA003,"Ligation of the common carotid artery, by cervicotomy",,,,Non-standard
EBSA002,Ligation of the distal vertebral artery by cervicotomy,,,,Non-standard
DHSA002,"Ligation of the inferior vena cava and / or one of its visceral branches, by laparotomy",,,,Non-standard
EBSA006,"Ligation of the internal carotid artery, by cervicotomy",,,,Non-standard
EGSA002,"Ligation of the pampiniform plexus or testicular vein, by scrotal approach",,,,Non-standard
EJSC001,"Ligation of the perforating vein of the lower limb, by video surgery",,,,Non-standard
EBSA007,"Ligation of the proximal vertebral artery, by cervicotomy",,,,Non-standard
EBSA009,Ligation of the sphenopalatine artery and ethmoidal artery,,,,Non-standard
EBSA001,"Ligation of the sphenopalatine artery or the maxillary artery, by transnasal or transantral approach",,,,Non-standard
ECSA001,"Ligation of the subclavian artery, by cervicotomy",,,,Non-standard
EBSA010,"Ligation of the trunk or branch of the external carotid artery, by cervicotomy",,,,Non-standard
HPSA001,"Ligation of the vaginal process of the peritoneum [peritoneovaginal canal], by inguinal approach",,,,Non-standard
HPSC001,"Ligation of the vaginal process of the peritoneum [peritoneovaginal canal], by laparoscopy",,,,Non-standard
ELSA002,"Ligation of the vascular pedicles of the uterus for postpartum hemorrhage, by laparotomy",,,,Non-standard
ELSC001,"Ligation or section of the testicular [spermatic] pedicle for cryptorchidism, by laparoscopy",,,,Non-standard
08.04.01.02,Ligature and section of the fallopian tube,,,,Non-standard
FCSA002,"Ligature of the thoracic duct, by cervicotomy",,,,Non-standard
